Store_Id,Customer_Name,Customer_Email,Satisfaction
3,Hayes Jacobson,orci.in.consequat@CrasinterdumNunc.org,8
3,Aladdin Hines,molestie.dapibus.ligula@sedsapien.co.uk,6
3,Alexandra Horne,pharetra@diam.net,7
3,Debra Coffey,nisi.Mauris.nulla@semNullainterdum.com,2
3,Clio Knowles,erat.nonummy.ultricies@congueIn.com,2
3,Hall Melton,et.lacinia@Sedcongue.com,5
3,Grace Cardenas,Sed.diam.lorem@Proinmi.net,1
3,Marcia Rice,ipsum@risusDonecegestas.edu,10
3,Myles Espinoza,lacus@nunc.net,4
3,Damian Mcdowell,vel@augueut.edu,5
3,Jasper Hooper,libero@nibhenimgravida.ca,9
3,Dorian Mcdonald,a.enim.Suspendisse@sollicitudin.net,5
3,Kathleen Howell,mi.Aliquam.gravida@nectempusscelerisque.ca,8
3,Reese Rasmussen,lacus.Cras.interdum@vitae.ca,10
3,Riley Wooten,gravida.nunc.sed@ullamcorpereueuismod.org,5
3,Irma Mckinney,lacinia.Sed@quamPellentesque.com,9
3,Quyn Terrell,Maecenas@Nam.org,10
3,Garrison Campbell,dictum.augue@volutpatNulla.co.uk,5
3,Keelie Harrington,adipiscing.Mauris@Etiamvestibulum.edu,6
3,Zane Bernard,tortor.at.risus@Cum.ca,2
3,Rogan Kidd,Proin@euelit.org,8
3,Sarah Knight,diam@Quisqueimperdieterat.com,3
3,Allistair Moore,ultrices.iaculis@auctornonfeugiat.ca,5
3,Elaine Baldwin,tellus.non@nisiaodio.ca,8
3,Hunter Douglas,Etiam@nisi.net,1
3,Brenden Campos,Nullam.lobortis@duilectusrutrum.net,7
3,Tate Sweet,eu.tempor@penatibusetmagnis.com,4
3,Roth Bell,eleifend.non.dapibus@eleifendegestas.net,10
3,Gray Simon,non.sollicitudin@Quisqueporttitoreros.org,1
3,Channing Franco,risus.Donec@dolor.co.uk,7
3,Haley Short,dignissim.lacus.Aliquam@vulputatemauris.net,5
3,Garrett Hubbard,elit.pharetra@Sed.org,5
3,Rama Rush,molestie.arcu.Sed@cursusetmagna.net,10
3,Aurora Roth,dui.augue.eu@eu.net,2
3,Russell Cline,augue@Aliquamornare.org,3
3,Judah Booker,Cum.sociis@malesuadaut.com,1
3,Imani Page,non.enim@Aliquamerat.org,4
3,Hop Cummings,Nunc@a.co.uk,7
3,Tucker Banks,Nulla.facilisi@Aliquam.ca,10
3,Dennis Ferrell,elit.dictum@afacilisis.org,3
3,Talon Mcmahon,malesuada.Integer@id.org,7
3,Walker Compton,eu.nibh@quislectusNullam.net,5
3,Ishmael Meyer,Donec.non.justo@nonsollicitudina.co.uk,9
3,Coby Mercer,cursus@bibendumullamcorperDuis.org,2
3,Kane Conrad,fringilla.euismod.enim@tellusimperdiet.org,5
3,Shad Hammond,dolor@amet.ca,10
3,Perry Boyer,orci@ligulaAliquamerat.edu,1
3,Harper Figueroa,nec.tempus@CrasinterdumNunc.org,2
3,Camilla Goodwin,ullamcorper.viverra.Maecenas@Nunclaoreetlectus.ca,4
3,Elmo Hayden,odio.sagittis.semper@arcuSedeu.net,3
3,Risa Shaffer,luctus.Curabitur@vitaeorciPhasellus.org,5
3,Yoshio Glover,eget.laoreet.posuere@aenim.co.uk,9
3,Cruz Harrington,pede.nonummy@arcu.net,8
3,Maya Lane,mollis.Phasellus@ullamcorpereueuismod.edu,4
3,Rebecca Cooke,natoque@acfermentum.co.uk,3
3,Clementine Crane,elementum.purus@ultricesiaculisodio.net,3
3,Brock Guy,arcu.vel@primisin.ca,10
3,Caryn Macdonald,lectus@ante.org,1
3,Kiayada Macias,mauris.erat.eget@neque.com,3
