Store_Id,Customer_Name,Customer_Email,Satisfaction
4,Leroy Gardner,mi.Duis@hendreritaarcu.co.uk,3
4,Amy Jones,senectus.et@Sedet.co.uk,6
4,Indira Jenkins,Fusce@turpisnecmauris.edu,4
4,Owen Horne,placerat@odioNam.edu,1
4,Harlan Beard,dapibus.quam@vitaepurus.ca,9
4,Simon Lynch,ligula.Aliquam@quamPellentesquehabitant.co.uk,4
4,Bryar Flowers,sed@purusDuiselementum.org,5
4,Iris Walters,vitae.mauris@Proin.com,4
4,Armando Barron,Curabitur@Donecelementumlorem.org,1
4,Galena Rosario,amet.risus.Donec@Vivamusnibh.org,2
4,Colleen Owens,diam.dictum.sapien@scelerisquesedsapien.org,5
4,Acton Cohen,orci@dis.com,10
4,Felicia Larson,parturient@Proin.edu,1
4,Barclay Perkins,ut.nulla@ipsum.com,2
4,Xander Clements,tellus.id@NullamnislMaecenas.edu,10
4,Keaton Mckenzie,risus.quis@justoProin.com,3
4,Nissim Monroe,nibh@Sedpharetrafelis.com,3
4,Jamal Mercer,mauris@egestas.edu,1
4,Illiana Branch,aliquet.diam.Sed@orciconsectetuer.org,4
4,Cecilia Griffith,est.congue@quis.ca,6
4,Lucy Willis,Aliquam.nisl.Nulla@orci.net,10
4,Rina Johns,Nam@orci.org,2
4,Ronan Rodgers,orci@fringilla.com,6
4,Vaughan Benjamin,Fusce.diam.nunc@auguemalesuada.co.uk,2
4,Sydney Cole,Nunc.sed@nasceturridiculus.edu,9
4,Thaddeus Jimenez,dui.Cum@tempuslorem.net,9
4,Jonah Chase,Sed@Proinnislsem.co.uk,10
4,Anika Britt,Duis.mi@risusvarius.org,4
4,Sade Saunders,sed@consequatenim.edu,10
4,Felicia Matthews,natoque.penatibus@turpis.co.uk,2
4,Althea Wiley,tortor.dictum.eu@Phasellus.ca,9
4,Tallulah Young,orci.lacus.vestibulum@scelerisqueduiSuspendisse.com,5
4,Yuri Jennings,ornare.elit.elit@ultriciesdignissim.ca,5
4,Madison Mcneil,aliquet@ProinmiAliquam.co.uk,2
4,Melanie Valentine,enim.nisl@In.org,5
4,Camden Christensen,a.enim@aliquetmetus.co.uk,6
4,Wade Cook,arcu@massanon.com,3
4,Kylynn Whitaker,a.ultricies@Nullaeget.org,5
4,Carol Burks,nec@convallisconvallis.ca,6
4,Tanner Levy,ornare.libero@nequeSed.ca,6
4,Driscoll Meadows,et.magnis.dis@elementumat.net,9
4,Castor Allen,Cum.sociis.natoque@Integeraliquam.edu,8
4,Tyler Horton,in@lobortistellus.ca,4
4,Bernard Sutton,molestie.sodales.Mauris@Vivamuseuismodurna.edu,1
4,Quentin Fletcher,gravida.Aliquam@tortor.ca,1
4,Keely Saunders,vulputate.risus.a@congue.edu,4
4,Rina Hicks,sed.hendrerit@dictumeu.net,9
4,Uriel Duke,ut.erat@vitaerisusDuis.ca,2
4,Lana Larson,ligula@atpretium.net,1
4,Abra Santiago,Integer@risusquisdiam.org,9
4,Leroy Bowers,non.nisi@dolorelit.ca,1
4,Naomi Riley,quis@maurisipsumporta.co.uk,9
4,Thor Higgins,diam.eu.dolor@eratvel.net,9
4,Giacomo Serrano,nunc.In.at@Integer.org,7
4,Upton Oneal,Praesent@mieleifend.com,10
4,Hedley Parker,enim.non.nisi@CuraeDonec.edu,10
4,Kerry Wilkerson,libero.Proin@elementumat.edu,10
4,Jade Barr,ornare.placerat@diameudolor.net,7
4,Garth Cantu,rutrum.non.hendrerit@euodio.edu,4
4,Madison Bruce,parturient.montes@lorem.co.uk,6
4,Yvonne Mccoy,enim.nec.tempus@ultricesiaculisodio.net,3
4,Jaden Marquez,ante.Nunc.mauris@Fuscealiquamenim.org,1
4,Lucian Warner,turpis.non.enim@Quisque.org,6
4,Lee Velez,elementum@dolor.edu,4
4,Beck Reed,Donec.egestas@nonquamPellentesque.com,10
4,Sandra Phillips,penatibus.et@Fusce.net,8
4,Bertha Barlow,adipiscing.fringilla@commodoipsum.edu,5
4,Cain Dotson,lacus@convallisligula.org,4
4,John Winters,eu.tempor.erat@sedleoCras.org,9
4,Cullen Young,ridiculus.mus@gravidamolestie.net,2
4,Hayley Klein,a.nunc.In@vitaesodalesnisi.co.uk,10
4,Eleanor Trevino,magna.tellus.faucibus@etrutrum.ca,1
4,Tasha Jensen,litora.torquent@diam.ca,6
4,Kennan Rodriquez,erat.Vivamus@tempus.net,9
4,Macaulay Key,Duis.gravida@ipsumdolor.org,2
4,Kyra Holloway,in@purusactellus.co.uk,2
4,Ulysses Black,purus@arcuvel.com,2
4,Sage Washington,Nullam.nisl.Maecenas@erat.edu,2
4,Lois Hall,faucibus.id@fringilla.net,6
4,Clark Rios,lacus@Cras.org,9
4,Hayden Howell,placerat.velit@liberoProin.org,4
4,Raphael Yang,pharetra.nibh@cursusin.org,9
4,George Gomez,ut.odio.vel@tristiqueac.net,1
4,Wyatt Collier,augue@arcuacorci.ca,3
4,Hayden Chan,Suspendisse@et.net,6
4,Samuel Medina,Vivamus.sit.amet@arcuNunc.net,1
4,Serina Haley,amet.ornare.lectus@feugiatnecdiam.net,10
4,Nissim Burch,lacus@convallisante.co.uk,4
4,Brooke Mason,convallis.ligula.Donec@malesuadavelvenenatis.co.uk,4
4,Nathaniel Mccray,magna.Suspendisse@ipsumsodales.org,10
4,Tanek Roman,Pellentesque@lobortistellus.edu,10
4,Lane Glass,eget@Donec.org,10
4,Tyler Malone,ac@commodo.ca,3
4,Tanek Newton,dapibus.ligula@Donecfeugiat.edu,5
4,Erasmus Guzman,adipiscing@massa.net,10
4,Duncan Vasquez,sem.ut.dolor@feugiat.net,1
4,Brynn Simpson,in.felis@Nunc.com,1
4,Lewis Mcfarland,rutrum.Fusce@Cumsociisnatoque.com,4
4,Otto Mcintyre,sodales.elit@faucibusorci.net,6
4,Devin Webster,quis.pede.Praesent@lobortis.org,3
