Store_Id,Customer_Name,Customer_Email,Satisfaction
3,Aladdin Hines,molestie.dapibus.ligula@sedsapien.co.uk,6
3,Alexandra Horne,pharetra@diam.net,7
3,Allistair Moore,ultrices.iaculis@auctornonfeugiat.ca,5
3,Amy Tucker,dis.parturient@purusinmolestie.org,10
3,Armando Stokes,gravida@veliteget.ca,1
3,Aurora Roth,dui.augue.eu@eu.net,2
3,Blossom Boone,egestas.blandit.Nam@semperet.com,8
3,Brenden Campos,Nullam.lobortis@duilectusrutrum.net,7
3,Brenna Maxwell,eget.varius@semegestasblandit.com,9
3,Britanney Singleton,quis.turpis@augueSedmolestie.co.uk,3
3,Brock Guy,arcu.vel@primisin.ca,10
3,Buffy Crawford,Sed@cubilia.edu,2
3,Calvin Bond,consectetuer.cursus.et@sed.edu,2
3,Calvin Green,eleifend.egestas.Sed@nunc.edu,9
3,Camilla Goodwin,ullamcorper.viverra.Maecenas@Nunclaoreetlectus.ca,4
3,Caryn Macdonald,lectus@ante.org,1
3,Celeste Fletcher,Integer@suscipitest.org,8
3,Channing Franco,risus.Donec@dolor.co.uk,7
3,Chelsea Curtis,sed@orci.co.uk,1
3,Clementine Crane,elementum.purus@ultricesiaculisodio.net,3
3,Clio Knowles,erat.nonummy.ultricies@congueIn.com,2
3,Coby Mercer,cursus@bibendumullamcorperDuis.org,2
3,Cruz Harrington,pede.nonummy@arcu.net,8
3,Curran Greene,amet.metus@Aliquam.co.uk,5
3,Dalton Coleman,erat.volutpat@tortor.org,6
3,Damian Mcdowell,vel@augueut.edu,5
3,Dawn Haynes,Proin.mi.Aliquam@metussitamet.co.uk,3
3,Debra Coffey,nisi.Mauris.nulla@semNullainterdum.com,2
3,Dennis Ferrell,elit.dictum@afacilisis.org,3
3,Dominic Mendez,elit.pretium@et.edu,5
3,Dorian Mcdonald,a.enim.Suspendisse@sollicitudin.net,5
3,Elaine Baldwin,tellus.non@nisiaodio.ca,8
3,Elmo Hayden,odio.sagittis.semper@arcuSedeu.net,3
3,Elvis Mcfarland,pede.ultrices@loremsitamet.net,6
3,Elvis Oneil,Mauris.quis.turpis@tincidunt.ca,4
3,Ferdinand Molina,pede.malesuada.vel@non.co.uk,7
3,Florence Avery,et.rutrum.non@anteMaecenas.ca,10
3,Gage Acosta,Sed.dictum.Proin@mi.ca,9
3,Gage Franco,tellus.eu@Phasellusinfelis.net,7
3,Gareth Reynolds,penatibus.et.magnis@eleifendvitae.com,4
3,Garrett Hubbard,elit.pharetra@Sed.org,5
3,Garrison Campbell,dictum.augue@volutpatNulla.co.uk,5
3,Gisela Rodriguez,eu.euismod@consequat.net,1
3,Grace Cardenas,Sed.diam.lorem@Proinmi.net,1
3,Gray Simon,non.sollicitudin@Quisqueporttitoreros.org,1
3,Haley Short,dignissim.lacus.Aliquam@vulputatemauris.net,5
3,Hall Melton,et.lacinia@Sedcongue.com,5
3,Harper Figueroa,nec.tempus@CrasinterdumNunc.org,2
3,Hayes Jacobson,orci.in.consequat@CrasinterdumNunc.org,8
3,Hop Cummings,Nunc@a.co.uk,7
3,Hunter Douglas,Etiam@nisi.net,1
3,Imani Page,non.enim@Aliquamerat.org,4
3,Irma Mckinney,lacinia.Sed@quamPellentesque.com,9
3,Isaac Kelley,magna@Duiscursus.net,9
3,Ishmael Meyer,Donec.non.justo@nonsollicitudina.co.uk,9
3,Ivan Casey,tellus.faucibus.leo@ipsumprimisin.co.uk,10
3,Jasmine Fitzpatrick,ac.arcu@lacus.ca,5
3,Jasper Hooper,libero@nibhenimgravida.ca,9
3,Judah Booker,Cum.sociis@malesuadaut.com,1
3,Kalia Beck,ipsum.sodales.purus@vulputatenisi.edu,1
3,Kane Conrad,fringilla.euismod.enim@tellusimperdiet.org,5
3,Kathleen Howell,mi.Aliquam.gravida@nectempusscelerisque.ca,8
3,Keelie Harrington,adipiscing.Mauris@Etiamvestibulum.edu,6
3,Kiayada Macias,mauris.erat.eget@neque.com,3
3,Lars Glenn,faucibus@mollisnec.net,4
3,Leah Wagner,amet@ridiculusmusProin.co.uk,6
3,Lillian Kidd,leo.elementum.sem@odio.co.uk,2
3,Lunea Holcomb,at.sem@ligulaNullam.net,10
3,Macey Potts,mattis.semper@a.edu,8
3,Marcia Rice,ipsum@risusDonecegestas.edu,10
3,Maya Lane,mollis.Phasellus@ullamcorpereueuismod.edu,4
3,Myles Espinoza,lacus@nunc.net,4
3,Nayda Pennington,non.sollicitudin.a@sagittisplaceratCras.edu,1
3,Ori Bonner,luctus.aliquet@tinciduntpede.org,3
3,Perry Boyer,orci@ligulaAliquamerat.edu,1
3,Priscilla Frank,eget.dictum.placerat@necmalesuada.com,9
3,Quyn Terrell,Maecenas@Nam.org,10
3,Rama Rush,molestie.arcu.Sed@cursusetmagna.net,10
3,Raphael Hampton,sem.consequat.nec@in.co.uk,1
3,Rebecca Cooke,natoque@acfermentum.co.uk,3
3,Reese Rasmussen,lacus.Cras.interdum@vitae.ca,10
3,Reuben Shannon,dolor.Fusce.feugiat@augue.com,10
3,Riley Wooten,gravida.nunc.sed@ullamcorpereueuismod.org,5
3,Risa Shaffer,luctus.Curabitur@vitaeorciPhasellus.org,5
3,Rogan Kidd,Proin@euelit.org,8
3,Roth Bell,eleifend.non.dapibus@eleifendegestas.net,10
3,Russell Cline,augue@Aliquamornare.org,3
3,Sacha Cook,lorem.ipsum.sodales@atvelitPellentesque.ca,4
3,Sage Cross,eu.dui.Cum@DonecnibhQuisque.co.uk,4
3,Sandra Alexander,enim.sit.amet@in.edu,3
3,Sarah Knight,diam@Quisqueimperdieterat.com,3
3,Shad Hammond,dolor@amet.ca,10
3,Talon Mcmahon,malesuada.Integer@id.org,7
3,Tate Sweet,eu.tempor@penatibusetmagnis.com,4
3,Thor Stafford,ultricies.adipiscing@lobortisnisi.org,8
3,Tucker Banks,Nulla.facilisi@Aliquam.ca,10
3,Vance Holt,nisi@lectusante.com,6
3,Walker Compton,eu.nibh@quislectusNullam.net,5
3,Yoshio Glover,eget.laoreet.posuere@aenim.co.uk,9
3,Zane Bernard,tortor.at.risus@Cum.ca,2
2,Aaron Conrad,Aliquam.ultrices.iaculis@dictummagnaUt.com,1
2,Adria Bowen,facilisis.facilisis@Nuncac.com,1
2,Aidan Munoz,ultrices.iaculis@vitaeposuereat.edu,2
2,Alyssa Hartman,facilisis@turpis.com,7
2,Amena Bartlett,magna.Ut.tincidunt@imperdiet.org,5
2,Angelica Pace,tincidunt.dui@atauctorullamcorper.edu,2
2,Ann Velasquez,elit.Aliquam.auctor@etnetuset.edu,3
2,April Rocha,elit@porttitorinterdum.com,3
2,Athena Bender,gravida@odioPhasellusat.net,9
2,Aubrey Haney,risus.Donec@mollislectus.org,10
2,Bradley Lucas,turpis.Nulla@odio.ca,9
2,Brielle Andrews,eu.odio@malesuadaaugueut.com,10
2,Byron Stokes,luctus@sed.net,9
2,Calvin Becker,scelerisque.sed@mitemporlorem.net,3
2,Calvin Hayes,lorem@Nunclectuspede.net,8
2,Chadwick Carlson,iaculis.lacus@magnatellus.ca,5
2,Chancellor Gillespie,diam@inconsectetueripsum.edu,8
2,Chester Ellison,risus.Duis.a@Phasellusfermentum.net,3
2,Chloe Perez,parturient.montes@congueaaliquet.edu,6
2,Christine Stanley,diam@Cras.net,7
2,Claudia Knowles,Etiam.laoreet@ornaretortor.edu,3
2,Clayton Johnson,ac.risus@mi.ca,1
2,Clementine Gutierrez,neque@atlibero.edu,6
2,Dai Montoya,Sed.molestie@ipsumdolorsit.net,3
2,Dante Adams,hymenaeos.Mauris.ut@purus.co.uk,4
2,Deacon Monroe,Etiam.vestibulum@vel.com,2
2,Declan Leon,gravida@Ut.com,1
2,Delilah Cruz,sem.magna.nec@nec.org,2
2,Dillon Harding,litora@non.net,3
2,Dorian Bird,mauris.sit@feugiatnon.edu,4
2,Eagan Brown,varius@egetmollis.org,7
2,Elizabeth Strickland,consequat.lectus.sit@sedliberoProin.co.uk,4
2,Emerald Hodge,Cum@arcuVivamus.co.uk,1
2,Eugenia Phillips,cursus.non@lobortisClassaptent.edu,4
2,Ezekiel Church,Aenean.eget@tortor.co.uk,4
2,Ezra Boyd,commodo@tempusnon.com,1
2,Geraldine Oneal,Sed.eu@nonlacinia.net,10
2,Giacomo Acevedo,lacus.Nulla.tincidunt@justo.edu,8
2,Giselle Pena,Aliquam@utipsum.org,8
2,Hall Osborn,turpis@Donecnibh.co.uk,1
2,Hollee Washington,Nulla.tincidunt@ad.net,8
2,Hope Salinas,eros.Nam@miDuis.org,2
2,Igor Benjamin,nibh@penatibus.org,5
2,Isaac Davidson,sociis@malesuadaaugue.ca,1
2,Ishmael Vega,nisi@purusaccumsaninterdum.edu,3
2,Ivana Stark,erat.volutpat@risusvarius.com,1
2,Ivy Mercado,turpis.In@Donec.ca,2
2,Ivy Sykes,semper.egestas.urna@vitae.org,4
2,Jaden Peck,egestas.Duis.ac@lobortisrisus.co.uk,4
2,Jasmine Nichols,euismod.ac.fermentum@antedictum.co.uk,3
2,Jenna Delaney,enim@atfringillapurus.edu,8
2,Jessica Waters,Vivamus.euismod@miAliquamgravida.edu,3
2,Joelle Reynolds,velit@loremeumetus.com,7
2,Joshua Bass,Phasellus.fermentum.convallis@penatibus.org,1
